audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200917-185936_bem_d31_elicit_29.wav	ukubelenga ubupilibulo bwa lupapulo lwa cilongonino ca cmml no kumona pamulandu wa bukwebo bwakwa munyina umo no kutontokanya pafyo imipepele ipya kabili yaibela ilecita mu myeo ya misepela	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200930-133148_bem_fb0_elicit_9.wav	apa pa yadi mupepi na pano paba abalumendo babili abasezuru abampimpili nganshi pe nomba nalikana no kuti baleke iyoo	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201002-051828_bem_798_elicit_16.wav	batila uko watangisha insomo takwafya kubuka	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200915-234914_bem_798_elicit_0.wav	cila cintu caliba ne nshita	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-010158_bem_798_elicit_14.wav	cimumbwa pala noko pala wiso ukuwama	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200920-120041_bem_798_elicit_44.wav	takwaba umuti wa bulwele bwa kolonavailasi nineteen	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-015847_bem_798_elicit_31.wav	leelo kumwafwa ukulingana napalingile amaka yakwe	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201002-051828_bem_798_elicit_22.wav	john alaala namuka mwine awe umulume aisa muma icabipisha amukonka na kucipatala kwine nako ayatinta kukuulu bamukakilile mucipatala	0
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201001-204524_bem_fb0_elicit_13.wav	amatiimu yonse yalemoneka kwati nayalingana amaka	1
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201002-000224_bem_fb0_elicit_12.wav	pa kuti ahininkishe nga natesha cinecine amwipusha ati mwe bantu ndeti mwabweleni kanshi finshi ndufyenye pa kukaananjasuka	1
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200915-234914_bem_798_elicit_45.wav	pakube fyo bali kuli fintu ifingi ifyo bakonkele ukufuma ku bwaice bwabo	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-043821_bem_798_elicit_24.wav	lelo afwaya ifwe ukulapila	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200921-162447_bem_798_elicit_4.wav	abakwata imibele yacanakashi pamo pene neya caume	0
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201002-093346_bem_798_elicit_14.wav	bushe impakwilo ya maano cinshi ninsaka	0
